rental_hour,season,workingday,weather,temp,humidity,windspeed,total_rentals,sunspots
2011-01-02 16:00:00,winter,0,3,13.94,71,11.0014,76,1
2011-01-02 17:00:00,winter,0,1,13.94,57,12.998,65,2
2011-01-02 18:00:00,winter,0,2,14.76,46,22.0028,53,1
2011-01-02 19:00:00,winter,0,1,13.12,42,30.0026,30,1
2011-01-02 20:00:00,winter,0,1,12.3,39,23.9994,22,0
2011-01-02 21:00:00,winter,0,1,10.66,44,22.0028,31,0
2011-01-02 22:00:00,winter,0,1,9.84,44,19.9995,9,0
2011-01-02 23:00:00,winter,0,1,9.02,47,11.0014,8,0
2011-01-03 00:00:00,winter,1,1,9.02,44,23.9994,5,1
2011-01-03 01:00:00,winter,1,1,8.2,44,27.9993,2,1
2011-01-03 04:00:00,winter,1,1,6.56,47,26.0027,1,1
2011-01-03 05:00:00,winter,1,1,6.56,47,19.0012,3,2
2011-01-03 06:00:00,winter,1,1,5.74,50,26.0027,30,2
2011-01-03 07:00:00,winter,1,1,5.74,50,12.998,64,2
2011-01-03 08:00:00,winter,1,1,5.74,50,19.0012,154,1
2011-01-03 09:00:00,winter,1,1,6.56,43,26.0027,88,2
2011-01-03 10:00:00,winter,1,1,7.38,43,16.9979,44,1
2011-01-03 11:00:00,winter,1,1,8.2,40,22.0028,51,2
2011-01-03 12:00:00,winter,1,1,9.02,35,19.9995,61,2
2011-01-03 13:00:00,winter,1,1,9.84,35,19.0012,61,2
2011-01-03 14:00:00,winter,1,1,10.66,30,19.0012,77,0
2011-01-03 15:00:00,winter,1,1,10.66,30,16.9979,72,2
2011-01-03 16:00:00,winter,1,1,10.66,30,16.9979,76,0
2011-01-03 17:00:00,winter,1,1,9.84,30,15.0013,157,1
2011-01-03 18:00:00,winter,1,1,9.84,32,7.0015,157,1
2011-01-03 19:00:00,winter,1,1,8.2,47,0.0,110,2
2011-01-03 20:00:00,winter,1,1,8.2,47,7.0015,52,0
2011-01-03 21:00:00,winter,1,1,7.38,64,8.9981,52,1
2011-01-03 22:00:00,winter,1,1,5.74,69,8.9981,20,2
2011-01-03 23:00:00,winter,1,1,7.38,55,7.0015,12,1
2011-01-04 00:00:00,winter,1,1,6.56,55,7.0015,5,0
2011-01-04 01:00:00,winter,1,1,6.56,59,7.0015,2,1
2011-01-04 02:00:00,winter,1,1,5.74,63,8.9981,1,2
2011-01-04 04:00:00,winter,1,1,5.74,63,6.0032,2,1
2011-01-04 05:00:00,winter,1,1,4.92,68,7.0015,4,0
2011-01-04 06:00:00,winter,1,1,4.92,74,7.0015,36,2
2011-01-04 07:00:00,winter,1,1,4.92,74,8.9981,94,0
2011-01-04 08:00:00,winter,1,1,5.74,69,11.0014,179,1
2011-01-04 09:00:00,winter,1,1,6.56,64,15.0013,100,1
2011-01-04 10:00:00,winter,1,2,6.56,69,22.0028,42,0
2011-01-04 11:00:00,winter,1,1,9.02,51,19.9995,57,0
2011-01-04 12:00:00,winter,1,1,9.02,51,11.0014,78,2
2011-01-04 13:00:00,winter,1,1,9.84,56,12.998,97,2
2011-01-04 14:00:00,winter,1,1,10.66,52,15.0013,63,0
2011-01-04 15:00:00,winter,1,1,11.48,52,16.9979,65,2
2011-01-04 16:00:00,winter,1,1,12.3,49,16.9979,83,1
2011-01-04 17:00:00,winter,1,1,11.48,48,15.0013,212,2
2011-01-04 18:00:00,winter,1,1,10.66,48,12.998,182,2
2011-01-04 19:00:00,winter,1,1,9.84,48,7.0015,112,2
2011-01-04 20:00:00,winter,1,1,9.84,48,7.0015,54,2
2011-01-04 21:00:00,winter,1,1,9.02,64,0.0,48,2
2011-01-04 22:00:00,winter,1,1,9.02,64,6.0032,35,1
2011-01-04 23:00:00,winter,1,1,8.2,69,6.0032,11,2
2011-01-05 00:00:00,winter,1,1,8.2,64,0.0,6,2
2011-01-05 01:00:00,winter,1,1,6.56,74,6.0032,6,0
2011-01-05 02:00:00,winter,1,1,6.56,74,6.0032,2,1
2011-01-05 04:00:00,winter,1,1,9.84,48,15.0013,2,0
2011-01-05 05:00:00,winter,1,1,9.02,47,11.0014,3,2
2011-01-05 06:00:00,winter,1,1,8.2,47,15.0013,33,0
2011-01-05 07:00:00,winter,1,1,7.38,43,12.998,88,0
2011-01-05 08:00:00,winter,1,1,8.2,40,19.9995,195,2
2011-01-05 09:00:00,winter,1,1,9.02,37,22.0028,115,2
2011-01-05 10:00:00,winter,1,1,9.02,37,22.0028,57,2
2011-01-05 11:00:00,winter,1,1,10.66,33,22.0028,46,2
2011-01-05 12:00:00,winter,1,1,10.66,33,22.0028,79,0
2011-01-05 13:00:00,winter,1,1,11.48,30,19.9995,71,1
2011-01-05 14:00:00,winter,1,1,12.3,28,12.998,62,2
2011-01-05 15:00:00,winter,1,1,12.3,28,12.998,62,2
2011-01-05 16:00:00,winter,1,1,12.3,28,6.0032,89,0
2011-01-05 17:00:00,winter,1,1,9.84,38,12.998,190,1
2011-01-05 18:00:00,winter,1,1,9.84,38,8.9981,169,0
2011-01-05 19:00:00,winter,1,1,9.84,38,7.0015,132,1
2011-01-05 20:00:00,winter,1,1,9.02,47,11.0014,89,2
2011-01-05 21:00:00,winter,1,1,8.2,51,12.998,43,0
2011-01-05 22:00:00,winter,1,1,7.38,55,8.9981,42,1
2011-01-05 23:00:00,winter,1,1,8.2,47,0.0,19,1
2011-01-06 00:00:00,winter,1,1,7.38,55,0.0,11,2
2011-01-06 01:00:00,winter,1,1,6.56,64,0.0,4,0
2011-01-06 02:00:00,winter,1,1,6.56,64,0.0,2,0
2011-01-06 04:00:00,winter,1,2,6.56,64,6.0032,1,1
2011-01-06 05:00:00,winter,1,2,5.74,69,6.0032,4,1
2011-01-06 06:00:00,winter,1,2,5.74,63,7.0015,36,2
2011-01-06 07:00:00,winter,1,2,6.56,59,0.0,95,2
2011-01-06 08:00:00,winter,1,1,6.56,59,0.0,219,2
2011-01-06 09:00:00,winter,1,2,7.38,51,0.0,122,2
2011-01-06 10:00:00,winter,1,1,8.2,47,0.0,45,2
2011-01-06 11:00:00,winter,1,1,9.02,44,6.0032,59,1
2011-01-06 12:00:00,winter,1,1,10.66,35,0.0,84,2
2011-01-06 13:00:00,winter,1,1,10.66,35,7.0015,67,0
2011-01-06 14:00:00,winter,1,1,11.48,36,11.0014,70,2
2011-01-06 15:00:00,winter,1,1,11.48,36,0.0,62,0
2011-01-06 16:00:00,winter,1,1,10.66,38,11.0014,86,0
2011-01-06 17:00:00,winter,1,1,9.02,51,11.0014,172,1
2011-01-06 18:00:00,winter,1,1,9.02,51,8.9981,163,0
2011-01-06 19:00:00,winter,1,1,9.02,55,6.0032,112,2
2011-01-06 20:00:00,winter,1,1,8.2,51,11.0014,69,2
2011-01-06 21:00:00,winter,1,2,9.02,55,15.0013,48,0
2011-01-06 22:00:00,winter,1,2,9.02,51,19.0012,52,0
2011-01-06 23:00:00,winter,1,2,8.2,59,12.998,23,1
2011-01-07 00:00:00,winter,1,2,8.2,64,12.998,17,0
2011-01-07 01:00:00,winter,1,2,8.2,69,15.0013,7,1
2011-01-07 02:00:00,winter,1,2,8.2,69,15.0013,1,2
2011-01-07 04:00:00,winter,1,2,8.2,69,8.9981,1,1
2011-01-07 05:00:00,winter,1,3,9.02,55,0.0,5,1
2011-01-07 06:00:00,winter,1,2,8.2,69,0.0,34,0
2011-01-07 07:00:00,winter,1,1,8.2,69,8.9981,84,0
2011-01-07 08:00:00,winter,1,1,8.2,51,16.9979,210,2
2011-01-07 09:00:00,winter,1,1,8.2,47,19.9995,134,1
2011-01-07 10:00:00,winter,1,1,9.02,37,22.0028,63,1
2011-01-07 11:00:00,winter,1,2,8.2,40,15.0013,67,2
2011-01-07 12:00:00,winter,1,2,8.2,37,16.9979,59,2
2011-01-07 13:00:00,winter,1,2,8.2,37,19.0012,73,0
2011-01-07 14:00:00,winter,1,2,8.2,40,16.9979,50,1
2011-01-07 15:00:00,winter,1,2,8.2,37,11.0014,72,0
2011-01-07 16:00:00,winter,1,2,8.2,37,11.0014,87,1
2011-01-07 17:00:00,winter,1,2,8.2,37,0.0,187,2
2011-01-07 18:00:00,winter,1,1,8.2,40,6.0032,123,1
2011-01-07 19:00:00,winter,1,1,6.56,55,6.0032,95,0
2011-01-07 20:00:00,winter,1,1,7.38,47,7.0015,51,1
2011-01-07 21:00:00,winter,1,1,7.38,47,8.9981,39,1
2011-01-07 22:00:00,winter,1,2,7.38,43,11.0014,36,0
2011-01-07 23:00:00,winter,1,2,7.38,51,11.0014,15,1
2011-01-08 00:00:00,winter,0,2,7.38,51,11.0014,25,0
2011-01-08 01:00:00,winter,0,2,7.38,55,6.0032,16,2
2011-01-08 02:00:00,winter,0,2,7.38,55,0.0,16,2
2011-01-08 03:00:00,winter,0,3,7.38,55,11.0014,7,1
2011-01-08 04:00:00,winter,0,3,7.38,55,11.0014,1,0
2011-01-08 05:00:00,winter,0,2,6.56,74,11.0014,5,1
2011-01-08 06:00:00,winter,0,2,6.56,74,11.0014,2,2
2011-01-08 07:00:00,winter,0,2,6.56,74,7.0015,9,0
2011-01-08 08:00:00,winter,0,3,6.56,93,7.0015,15,1
2011-01-08 09:00:00,winter,0,3,6.56,93,7.0015,20,1
2011-01-08 10:00:00,winter,0,2,7.38,80,11.0014,61,1
2011-01-08 11:00:00,winter,0,2,8.2,69,26.0027,62,1
2011-01-08 12:00:00,winter,0,2,8.2,59,23.9994,98,2
2011-01-08 13:00:00,winter,0,1,8.2,44,22.0028,102,1
2011-01-08 14:00:00,winter,0,1,8.2,32,32.9975,95,2
2011-01-08 15:00:00,winter,0,1,8.2,32,30.0026,74,0
2011-01-08 16:00:00,winter,0,1,7.38,29,30.0026,76,0
2011-01-08 17:00:00,winter,0,1,6.56,37,36.9974,69,2
2011-01-08 18:00:00,winter,0,1,5.74,39,19.9995,55,2
2011-01-08 19:00:00,winter,0,1,5.74,36,16.9979,30,2
2011-01-08 20:00:00,winter,0,1,4.92,36,16.9979,28,0
2011-01-08 21:00:00,winter,0,1,4.92,39,23.9994,37,1
2011-01-08 22:00:00,winter,0,1,4.92,36,26.0027,34,1
2011-01-08 23:00:00,winter,0,1,4.1,39,30.0026,22,1
2011-01-09 00:00:00,winter,0,1,4.1,42,26.0027,25,1
2011-01-09 01:00:00,winter,0,1,4.1,42,31.0009,12,0
2011-01-09 02:00:00,winter,0,1,4.1,46,31.0009,11,0
2011-01-09 03:00:00,winter,0,1,4.1,46,27.9993,4,0
2011-01-09 04:00:00,winter,0,1,3.28,53,12.998,1,1
2011-01-09 05:00:00,winter,0,1,3.28,53,12.998,1,2
2011-01-09 06:00:00,winter,0,1,4.1,49,19.0012,1,0
2011-01-09 07:00:00,winter,0,1,3.28,53,12.998,6,2
2011-01-09 08:00:00,winter,0,1,4.1,49,19.0012,10,2
2011-01-09 09:00:00,winter,0,1,4.92,46,35.0008,19,2
2011-01-09 10:00:00,winter,0,1,5.74,43,26.0027,49,1
2011-01-09 11:00:00,winter,0,1,6.56,40,35.0008,49,2
2011-01-09 12:00:00,winter,0,1,7.38,37,30.0026,83,1
2011-01-09 13:00:00,winter,0,1,8.2,34,30.0026,75,1
2011-01-09 14:00:00,winter,0,1,9.02,32,31.0009,72,1
2011-01-09 15:00:00,winter,0,1,9.02,35,23.9994,82,0
2011-01-09 16:00:00,winter,0,1,8.2,34,30.0026,92,1
2011-01-09 17:00:00,winter,0,1,7.38,37,26.0027,62,0
2011-01-09 18:00:00,winter,0,1,6.56,40,22.0028,48,1
2011-01-09 19:00:00,winter,0,1,6.56,43,22.0028,41,2
2011-01-09 20:00:00,winter,0,1,5.74,46,16.9979,38,1
2011-01-09 21:00:00,winter,0,1,5.74,46,27.9993,20,0
2011-01-09 22:00:00,winter,0,1,5.74,46,19.9995,15,2
2011-01-09 23:00:00,winter,0,1,4.92,50,12.998,6,2
2011-01-10 00:00:00,winter,1,1,4.92,50,19.0012,5,1
2011-01-10 01:00:00,winter,1,1,4.92,50,19.0012,1,1
2011-01-10 02:00:00,winter,1,1,4.92,50,15.0013,3,2
2011-01-10 03:00:00,winter,1,1,4.92,50,15.0013,1,1
2011-01-10 04:00:00,winter,1,1,4.1,54,8.9981,3,2
2011-01-10 05:00:00,winter,1,1,4.1,54,16.9979,3,0
2011-01-10 06:00:00,winter,1,1,4.92,50,19.0012,31,1
2011-01-10 07:00:00,winter,1,1,4.92,50,15.0013,77,1
2011-01-10 08:00:00,winter,1,2,4.92,50,19.0012,188,0
2011-01-10 09:00:00,winter,1,2,5.74,50,16.9979,94,2
2011-01-10 10:00:00,winter,1,2,5.74,50,19.9995,31,1
2011-01-10 11:00:00,winter,1,2,6.56,47,19.0012,30,0
2011-01-10 12:00:00,winter,1,2,8.2,40,19.0012,52,1
2011-01-10 13:00:00,winter,1,2,8.2,40,19.0012,54,0
2011-01-10 14:00:00,winter,1,2,8.2,40,15.0013,47,0
2011-01-10 15:00:00,winter,1,2,8.2,40,15.0013,45,1
2011-01-10 16:00:00,winter,1,1,8.2,40,8.9981,74,0
2011-01-10 17:00:00,winter,1,1,8.2,40,7.0015,178,1
2011-01-10 18:00:00,winter,1,1,8.2,40,15.0013,155,1
2011-01-10 19:00:00,winter,1,1,6.56,47,11.0014,95,2
2011-01-10 20:00:00,winter,1,1,6.56,50,11.0014,74,1
2011-01-10 21:00:00,winter,1,1,5.74,59,12.998,38,0
2011-01-10 22:00:00,winter,1,1,5.74,59,11.0014,24,1
2011-01-10 23:00:00,winter,1,1,5.74,59,11.0014,18,1
2011-01-11 00:00:00,winter,1,1,5.74,59,7.0015,12,2
2011-01-11 01:00:00,winter,1,1,5.74,59,11.0014,3,2
2011-01-11 02:00:00,winter,1,2,6.56,55,12.998,3,1
2011-01-11 05:00:00,winter,1,2,6.56,55,8.9981,6,1
2011-01-11 06:00:00,winter,1,2,6.56,55,8.9981,27,2
2011-01-11 07:00:00,winter,1,2,6.56,55,0.0,99,0
2011-01-11 08:00:00,winter,1,2,7.38,51,6.0032,217,1
2011-01-11 09:00:00,winter,1,2,7.38,51,11.0014,130,2
2011-01-11 10:00:00,winter,1,2,8.2,51,11.0014,54,2
2011-01-11 11:00:00,winter,1,2,8.2,47,8.9981,35,2
2011-01-11 12:00:00,winter,1,2,8.2,51,7.0015,57,0
2011-01-11 13:00:00,winter,1,2,8.2,59,6.0032,52,0
2011-01-11 14:00:00,winter,1,2,8.2,59,6.0032,63,2
2011-01-11 15:00:00,winter,1,2,6.56,80,6.0032,47,0
2011-01-11 16:00:00,winter,1,2,6.56,86,15.0013,76,2
2011-01-11 17:00:00,winter,1,2,6.56,86,15.0013,136,0
2011-01-11 18:00:00,winter,1,3,6.56,93,7.0015,95,2
2011-01-11 19:00:00,winter,1,3,6.56,93,0.0,51,2
2011-01-11 20:00:00,winter,1,3,6.56,93,12.998,32,1
2011-01-11 21:00:00,winter,1,3,6.56,86,6.0032,20,2
2011-01-11 22:00:00,winter,1,3,6.56,93,7.0015,29,2
2011-01-11 23:00:00,winter,1,3,6.56,93,6.0032,19,0
2011-01-12 00:00:00,winter,1,2,6.56,86,6.0032,7,0
2011-01-12 01:00:00,winter,1,2,6.56,86,7.0015,6,1
2011-01-12 02:00:00,winter,1,1,5.74,86,8.9981,1,2
2011-01-12 05:00:00,winter,1,1,5.74,86,11.0014,5,1
2011-01-12 06:00:00,winter,1,1,4.92,93,8.9981,16,2
2011-01-12 07:00:00,winter,1,1,5.74,69,8.9981,54,1
2011-01-12 08:00:00,winter,1,1,6.56,59,11.0014,128,1
2011-01-12 09:00:00,winter,1,1,6.56,59,22.0028,81,1
2011-01-12 10:00:00,winter,1,1,7.38,55,15.0013,39,0
2011-01-12 11:00:00,winter,1,1,8.2,51,26.0027,35,2
2011-01-12 12:00:00,winter,1,1,8.2,47,39.0007,55,1
2011-01-12 13:00:00,winter,1,1,9.02,44,23.9994,49,1
2011-01-12 14:00:00,winter,1,1,8.2,47,22.0028,44,2
2011-01-12 15:00:00,winter,1,1,8.2,47,27.9993,49,0
2011-01-12 16:00:00,winter,1,1,9.02,44,22.0028,68,2
2011-01-12 17:00:00,winter,1,1,8.2,47,23.9994,139,1
2011-01-12 18:00:00,winter,1,1,8.2,47,35.0008,137,1
2011-01-12 19:00:00,winter,1,1,7.38,47,27.9993,83,1
2011-01-12 20:00:00,winter,1,1,6.56,50,22.0028,56,0
2011-01-12 21:00:00,winter,1,1,6.56,55,22.0028,57,2
2011-01-12 22:00:00,winter,1,1,6.56,55,30.0026,33,1
2011-01-12 23:00:00,winter,1,1,5.74,59,27.9993,20,0
2011-01-13 00:00:00,winter,1,1,5.74,59,19.0012,7,1
2011-01-13 01:00:00,winter,1,1,5.74,50,19.0012,2,1
2011-01-13 02:00:00,winter,1,1,5.74,50,23.9994,2,1
2011-01-13 03:00:00,winter,1,1,5.74,50,22.0028,3,2
2011-01-13 04:00:00,winter,1,1,5.74,50,16.9979,4,1
2011-01-13 05:00:00,winter,1,1,5.74,50,19.9995,3,2
2011-01-13 06:00:00,winter,1,1,4.92,54,8.9981,28,1
2011-01-13 07:00:00,winter,1,1,4.92,54,8.9981,72,1
2011-01-13 08:00:00,winter,1,1,5.74,50,12.998,202,1
2011-01-13 09:00:00,winter,1,1,5.74,50,22.0028,139,0
2011-01-13 10:00:00,winter,1,2,6.56,50,23.9994,38,1
2011-01-13 11:00:00,winter,1,2,8.2,44,30.0026,37,0
2011-01-13 12:00:00,winter,1,1,8.2,44,27.9993,52,1
2011-01-13 13:00:00,winter,1,1,9.02,41,30.0026,83,1
2011-01-13 14:00:00,winter,1,1,9.02,41,26.0027,42,0
2011-01-13 15:00:00,winter,1,1,9.84,38,19.9995,60,2
2011-01-13 16:00:00,winter,1,1,9.84,38,23.9994,78,1
2011-01-13 17:00:00,winter,1,1,8.2,40,19.0012,162,1
2011-01-13 18:00:00,winter,1,1,8.2,40,22.0028,144,1
2011-01-13 19:00:00,winter,1,1,6.56,47,16.9979,99,0
2011-01-13 20:00:00,winter,1,1,6.56,47,15.0013,64,2
2011-01-13 21:00:00,winter,1,1,5.74,46,19.9995,40,0
2011-01-13 22:00:00,winter,1,1,5.74,46,22.0028,30,2
2011-01-13 23:00:00,winter,1,1,4.92,50,12.998,15,1
2011-01-14 00:00:00,winter,1,1,4.92,50,12.998,14,0
2011-01-14 01:00:00,winter,1,1,4.1,54,11.0014,5,0
2011-01-14 02:00:00,winter,1,1,4.1,54,8.9981,1,1
2011-01-14 03:00:00,winter,1,1,4.1,54,7.0015,1,0
2011-01-14 05:00:00,winter,1,1,4.1,54,6.0032,8,2
2011-01-14 06:00:00,winter,1,1,4.1,54,0.0,17,0
2011-01-14 07:00:00,winter,1,1,4.1,74,11.0014,70,0
2011-01-14 08:00:00,winter,1,1,4.92,68,0.0,158,1
2011-01-14 09:00:00,winter,1,1,5.74,69,8.9981,117,2
2011-01-14 10:00:00,winter,1,1,7.38,55,12.998,44,0
2011-01-14 11:00:00,winter,1,1,7.38,51,19.0012,53,0
2011-01-14 12:00:00,winter,1,1,8.2,44,16.9979,61,1
2011-01-14 13:00:00,winter,1,1,9.02,37,26.0027,77,2
2011-01-14 14:00:00,winter,1,1,9.02,41,19.0012,64,2
2011-01-14 15:00:00,winter,1,1,9.84,38,11.0014,68,2
2011-01-14 16:00:00,winter,1,1,9.02,41,7.0015,90,2
2011-01-14 17:00:00,winter,1,1,9.02,41,11.0014,159,1
2011-01-14 18:00:00,winter,1,1,8.2,47,0.0,139,0
2011-01-14 19:00:00,winter,1,1,6.56,59,6.0032,92,1
2011-01-14 20:00:00,winter,1,1,7.38,59,0.0,68,1
2011-01-14 21:00:00,winter,1,1,6.56,69,0.0,52,1
2011-01-14 22:00:00,winter,1,2,6.56,69,0.0,36,1
2011-01-14 23:00:00,winter,1,2,7.38,55,0.0,27,2
2011-01-15 00:00:00,winter,0,1,7.38,55,0.0,28,1
2011-01-15 01:00:00,winter,0,2,6.56,59,6.0032,20,0
2011-01-15 02:00:00,winter,0,2,6.56,59,6.0032,12,0
2011-01-15 03:00:00,winter,0,2,6.56,59,0.0,8,0
2011-01-15 04:00:00,winter,0,2,6.56,59,0.0,5,1
2011-01-15 05:00:00,winter,0,1,6.56,59,0.0,1,0
2011-01-15 06:00:00,winter,0,1,5.74,63,7.0015,3,2
2011-01-15 07:00:00,winter,0,1,5.74,63,0.0,10,2
2011-01-15 08:00:00,winter,0,1,5.74,63,8.9981,23,0
2011-01-15 09:00:00,winter,0,1,6.56,64,8.9981,33,2
2011-01-15 10:00:00,winter,0,1,7.38,59,11.0014,59,1
2011-01-15 11:00:00,winter,0,1,8.2,55,15.0013,72,1
2011-01-15 12:00:00,winter,0,1,9.84,48,15.0013,89,0
2011-01-15 13:00:00,winter,0,1,11.48,38,19.9995,101,2
2011-01-15 14:00:00,winter,0,1,12.3,39,19.0012,118,1
2011-01-15 15:00:00,winter,0,2,13.12,36,12.998,129,1
2011-01-15 16:00:00,winter,0,2,13.94,34,12.998,128,0
2011-01-15 17:00:00,winter,0,2,13.12,36,19.0012,83,2
2011-01-15 18:00:00,winter,0,2,12.3,45,16.9979,84,2
2011-01-15 19:00:00,winter,0,2,13.12,39,16.9979,74,1
2011-01-15 20:00:00,winter,0,2,13.12,39,16.9979,41,0
2011-01-15 21:00:00,winter,0,2,13.12,39,15.0013,57,1
2011-01-15 22:00:00,winter,0,2,12.3,42,7.0015,26,2
2011-01-15 23:00:00,winter,0,1,12.3,45,19.0012,44,0
2011-01-16 00:00:00,winter,0,1,10.66,56,0.0,39,1
2011-01-16 01:00:00,winter,0,1,10.66,56,8.9981,23,2
2011-01-16 02:00:00,winter,0,1,10.66,56,6.0032,16,2
2011-01-16 03:00:00,winter,0,1,9.02,69,0.0,15,1
2011-01-16 04:00:00,winter,0,1,10.66,56,11.0014,1,1
2011-01-16 05:00:00,winter,0,2,10.66,56,11.0014,2,1
2011-01-16 06:00:00,winter,0,2,10.66,56,11.0014,1,2
2011-01-16 07:00:00,winter,0,2,9.84,56,19.9995,3,1
2011-01-16 08:00:00,winter,0,1,9.02,55,19.0012,18,0
2011-01-16 09:00:00,winter,0,1,9.02,51,16.9979,32,2
2011-01-16 10:00:00,winter,0,1,9.02,51,19.0012,79,2
2011-01-16 11:00:00,winter,0,1,9.84,44,16.9979,93,1
2011-01-16 12:00:00,winter,0,1,9.84,41,19.0012,104,2
2011-01-16 13:00:00,winter,0,1,10.66,35,19.9995,118,1
2011-01-16 14:00:00,winter,0,1,11.48,36,16.9979,91,2
2011-01-16 15:00:00,winter,0,1,10.66,38,16.9979,113,2
2011-01-16 16:00:00,winter,0,1,9.84,38,15.0013,99,2
2011-01-16 17:00:00,winter,0,1,9.02,37,16.9979,105,1
2011-01-16 18:00:00,winter,0,1,8.2,40,11.0014,67,2
2011-01-16 19:00:00,winter,0,1,7.38,47,8.9981,61,2
2011-01-16 20:00:00,winter,0,1,7.38,47,11.0014,57,0
2011-01-16 21:00:00,winter,0,1,7.38,51,11.0014,28,1
2011-01-16 22:00:00,winter,0,2,8.2,49,8.9981,21,2
2011-01-16 23:00:00,winter,0,2,8.2,40,7.0015,18,2
2011-01-17 00:00:00,winter,0,2,8.2,47,15.0013,17,1
2011-01-17 01:00:00,winter,0,2,8.2,44,12.998,16,0
2011-01-17 02:00:00,winter,0,2,7.38,43,16.9979,8,0
2011-01-17 03:00:00,winter,0,2,7.38,43,12.998,2,2
2011-01-17 04:00:00,winter,0,2,7.38,43,8.9981,3,2
2011-01-17 05:00:00,winter,0,2,7.38,43,11.0014,1,2
2011-01-17 06:00:00,winter,0,2,7.38,43,12.998,5,1
2011-01-17 07:00:00,winter,0,2,6.56,50,8.9981,13,2
2011-01-17 08:00:00,winter,0,2,6.56,47,15.0013,33,1
2011-01-17 09:00:00,winter,0,2,6.56,47,15.0013,47,1
2011-01-17 10:00:00,winter,0,2,6.56,50,16.9979,57,0
2011-01-17 11:00:00,winter,0,2,6.56,55,12.998,64,1
2011-01-17 12:00:00,winter,0,2,7.38,47,8.9981,80,0
2011-01-17 13:00:00,winter,0,2,7.38,47,8.9981,93,1
2011-01-17 14:00:00,winter,0,2,7.38,43,7.0015,86,2
2011-01-17 15:00:00,winter,0,2,8.2,47,11.0014,93,2
2011-01-17 16:00:00,winter,0,2,8.2,47,11.0014,82,0
2011-01-17 17:00:00,winter,0,1,8.2,51,12.998,71,1
2011-01-17 18:00:00,winter,0,2,7.38,55,16.9979,92,2
2011-01-17 19:00:00,winter,0,3,7.38,59,12.998,60,0
2011-01-17 20:00:00,winter,0,3,6.56,80,12.998,33,1
2011-01-17 21:00:00,winter,0,3,6.56,80,12.998,27,0
2011-01-17 22:00:00,winter,0,3,5.74,93,16.9979,13,1
2011-01-17 23:00:00,winter,0,3,6.56,86,19.0012,4,0
2011-01-18 12:00:00,winter,1,2,8.2,86,22.0028,3,1
2011-01-18 13:00:00,winter,1,2,8.2,86,15.0013,22,0
2011-01-18 14:00:00,winter,1,2,9.02,80,11.0014,28,1
2011-01-18 15:00:00,winter,1,2,9.02,87,11.0014,35,1
